title,disc,digital,id,poster,actors,genres,rating,content_rating,year,duration_str,duration_min,trailer,plot_summary
12 Years A Slave,DVD,no,tt2024544,"https://m.media-amazon.com/images/M/MV5BMjExMTEzODkyN15BMl5BanBnXkFtZTcwNTU4NTc4OQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg","Chiwetel Ejiofor, Michael Kenneth Williams, Michael Fassbender","Biography, Drama, History",8.1,R,2013,2h 14m,134.0,https://www.youtube.com/embed/z02Ie8wKKRg,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery."
2012,DVD,no,tt1190080,"https://m.media-amazon.com/images/M/MV5BMTY0MjEyODQzMF5BMl5BanBnXkFtZTcwMTczMjQ4Mg@@._V1_QL75_UX190_CR0,0,190,281_.jpg","John Cusack, Thandiwe Newton, Chiwetel Ejiofor","Action, Adventure, Sci-Fi",5.8,PG-13,2009,2h 38m,158.0,https://www.youtube.com/embed/sFXGrTng0gQ,A frustrated writer struggles to keep his family alive when a series of global catastrophes threatens to annihilate mankind.
21 Jump Street,BR,no,tt1232829,"https://m.media-amazon.com/images/M/MV5BNTZjNzRjMTMtZDMzNy00Y2ZjLTg0OTAtZjVhNzYyZmJjOTljXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_QL75_UX190_CR0,0,190,281_.jpg","Jonah Hill, Channing Tatum, Ice Cube","Action, Comedy, Crime",7.2,R,2012,1h 49m,109.0,https://www.youtube.com/embed/RLoKtb4c4W0,A pair of underachieving cops are sent back to a local high school to blend in and bring down a synthetic drug ring.
300,DVD,no,tt0416449,"https://m.media-amazon.com/images/M/MV5BNWMxYTZlOTUtZDExMi00YzZmLTkwYTMtZmM2MmRjZmQ3OGY4XkEyXkFqcGdeQXVyMTAwMzUyMzUy._V1_QL75_UY281_CR1,0,190,281_.jpg","Gerard Butler, Lena Headey, David Wenham","Action, Drama",7.6,R,2006,1h 57m,117.0,https://www.youtube.com/embed/UrIbxk7idYA,King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.
3:10 To Yuma,DVD,no,tt0381849,"https://m.media-amazon.com/images/M/MV5BODE0NTcxNTQzNF5BMl5BanBnXkFtZTcwMzczOTIzMw@@._V1_QL75_UX190_CR0,2,190,281_.jpg","Russell Crowe, Christian Bale, Ben Foster","Action, Crime, Drama",7.7,R,2007,2h 2m,122.0,https://www.youtube.com/embed/jX1m45CwvJ8,A small-time rancher agrees to hold a captured outlaw who's awaiting a train to go to court in Yuma. A battle of wills ensues as the outlaw tries to psych out the rancher.
42,BR,yes,tt0453562,"https://m.media-amazon.com/images/M/MV5BMTQwMDU4MDI3MV5BMl5BanBnXkFtZTcwMjU1NDgyOQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg","Chadwick Boseman, T.R. Knight, Harrison Ford","Biography, Drama, Sport",7.5,PG-13,2013,2h 8m,128.0,https://www.youtube.com/embed/I9RHqdZDCF0,"In 1947, Jackie Robinson becomes the first African-American to play in Major League Baseball in the modern era when he was signed by the Brooklyn Dodgers and faces considerable racism in the process."
50 First Dates,NONE,yes,tt0343660,"https://m.media-amazon.com/images/M/MV5BMjAwMzc4MDgxNF5BMl5BanBnXkFtZTYwNjUwMzE3._V1_QL75_UX190_CR0,0,190,281_.jpg","Adam Sandler, Drew Barrymore, Rob Schneider","Comedy, Drama, Romance",6.8,PG-13,2004,1h 39m,99.0,https://www.youtube.com/embed/Q_2AbjYeSMI,Henry Roth is a man afraid of commitment until he meets the beautiful Lucy. They hit it off and Henry think he's finally found the girl of his dreams until discovering she has short-term memory loss and forgets him the next day.
8 Mile,DVD,no,tt0298203,"https://m.media-amazon.com/images/M/MV5BOWI3MDIzZmYtN2Y3MC00YTljLWFiYmYtNWIzMjg1ZWQ1ODlhXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX190_CR0,7,190,281_.jpg","Eminem, Brittany Murphy, Kim Basinger","Drama, Music",7.2,R,2002,1h 50m,110.0,https://www.youtube.com/embed/axGVrfwm9L4,"Follows a young rapper in the Detroit area, struggling with every aspect of his life, wants to make it big but his friends and foes make this odyssey of rap harder than it may seem."
"Age Of Adeline, The",NONE,yes,tt1655441,"https://m.media-amazon.com/images/M/MV5BMTAzMTQzMTA2MjheQTJeQWpwZ15BbWU4MDk2MTg2MzUx._V1_QL75_UX190_CR0,3,190,281_.jpg","Blake Lively, Michiel Huisman, Harrison Ford","Drama, Fantasy, Romance",7.2,PG-13,2015,1h 52m,112.0,https://www.youtube.com/embed/7UzSekc0LoQ,"A young woman, born at the turn of the 20th century, is rendered ageless after an accident. After many solitary years, she meets a man who complicates the eternal life she has settled into."
Alita: Battle Angel,BR,yes,tt0437086,"https://m.media-amazon.com/images/M/MV5BMTQzYWYwYjctY2JhZS00NTYzLTllM2UtZWY5ZTk0NmYwYzIyXkEyXkFqcGdeQXVyMzgxODM4NjM@._V1_QL75_UX190_CR0,0,190,281_.jpg","Rosa Salazar, Christoph Waltz, Jennifer Connelly","Action, Adventure, Sci-Fi",7.3,PG-13,2019,2h 2m,122.0,https://www.youtube.com/embed/w7pYhpJaJW8,"A deactivated cyborg's revived, but can't remember anything of her past and goes on a quest to find out who she is."
